date,IMOS_adj_close,IMOS_cashflow,IMOS_cml_units,IMOS_cml_cost,IMOS_gain_loss,IMOS_avg_price,IMOS_mktvalue,AIHS_adj_close,AIHS_cashflow,AIHS_cml_units,AIHS_cml_cost,AIHS_gain_loss,AIHS_avg_price,AIHS_mktvalue,JHB_adj_close,JHB_cashflow,JHB_cml_units,JHB_cml_cost,JHB_gain_loss,JHB_avg_price,JHB_mktvalue,VERB_adj_close,VERB_cashflow,VERB_cml_units,VERB_cml_cost,VERB_gain_loss,VERB_avg_price,VERB_mktvalue,CHUC_adj_close,CHUC_cashflow,CHUC_cml_units,CHUC_cml_cost,CHUC_gain_loss,CHUC_avg_price,CHUC_mktvalue,GLBD_adj_close,GLBD_cashflow,GLBD_cml_units,GLBD_cml_cost,GLBD_gain_loss,GLBD_avg_price,GLBD_mktvalue,MLFB_adj_close,MLFB_cashflow,MLFB_cml_units,MLFB_cml_cost,MLFB_gain_loss,MLFB_avg_price,MLFB_mktvalue,MMNT_adj_close,MMNT_cashflow,MMNT_cml_units,MMNT_cml_cost,MMNT_gain_loss,MMNT_avg_price,MMNT_mktvalue,UAVS_adj_close,UAVS_cashflow,UAVS_cml_units,UAVS_cml_cost,UAVS_gain_loss,UAVS_avg_price,UAVS_mktvalue,LOMA_adj_close,LOMA_cashflow,LOMA_cml_units,LOMA_cml_cost,LOMA_gain_loss,LOMA_avg_price,LOMA_mktvalue,GURE_adj_close,GURE_cashflow,GURE_cml_units,GURE_cml_cost,GURE_gain_loss,GURE_avg_price,GURE_mktvalue,ABQQ_adj_close,ABQQ_cashflow,ABQQ_cml_units,ABQQ_cml_cost,ABQQ_gain_loss,ABQQ_avg_price,ABQQ_mktvalue,AREB_adj_close,AREB_cashflow,AREB_cml_units,AREB_cml_cost,AREB_gain_loss,AREB_avg_price,AREB_mktvalue,BOXS_adj_close,BOXS_cashflow,BOXS_cml_units,BOXS_cml_cost,BOXS_gain_loss,BOXS_avg_price,BOXS_mktvalue,LCHD_adj_close,LCHD_cashflow,LCHD_cml_units,LCHD_cml_cost,LCHD_gain_loss,LCHD_avg_price,LCHD_mktvalue,PGTK_adj_close,PGTK_cashflow,PGTK_cml_units,PGTK_cml_cost,PGTK_gain_loss,PGTK_avg_price,PGTK_mktvalue
2020-02-05,18.697,0.0,0.0,0.0,0.0,,0.0,0.6,-10000.0,9433.963,5000.0,-1241.1,0.53,5660.378,9.494,0.0,0.0,0.0,0.0,,0.0,1.5,-10000.0,3333.333,5000.0,-562.02,1.5,5000.0,0.23,-5000.0,2777777.825,5000.0,0.0,0.002,638888.911,0.796,-5000.0,14285.715,5000.0,0.0,0.35,11371.429,0.014,-5000.0,450044.992,5000.0,0.0,0.011,6219.622,0.5,-5000.0,12500.0,5000.0,0.0,0.4,6250.0,0.49,0.0,0.0,0.0,0.0,,0.0,6.782,-10000.0,756.214,5000.0,-399.873,6.612,5128.388,3.975,-5000.0,1923.077,5000.0,0.0,2.6,7644.231,11.2,-5000.0,500.0,5000.0,0.0,10.0,5600.0,0.273,-5000.0,17543.86,5000.0,0.0,0.285,4789.474,0.004,-5000.0,1249999.941,5000.0,0.0,0.004,5250.0,1.0,-5000.0,5000.0,5000.0,0.0,1.0,5000.0,3.0,-5000.0,1694.915,5000.0,0.0,2.95,5084.746
2020-02-06,19.066,0.0,0.0,0.0,0.0,,0.0,0.63,-10000.0,9433.963,5000.0,-1241.1,0.53,5943.397,9.485,0.0,0.0,0.0,0.0,,0.0,1.56,-10000.0,3333.333,5000.0,-562.02,1.5,5200.0,0.238,-5000.0,2777777.825,5000.0,0.0,0.002,661111.138,1.0,-5000.0,14285.715,5000.0,0.0,0.35,14285.715,0.012,-5000.0,450044.992,5000.0,0.0,0.011,5346.535,0.4,-5000.0,12500.0,5000.0,0.0,0.4,5000.0,0.495,0.0,0.0,0.0,0.0,,0.0,6.81,-10000.0,756.214,5000.0,-399.873,6.612,5149.786,3.74,-5000.0,1923.077,5000.0,0.0,2.6,7192.308,11.2,-5000.0,500.0,5000.0,0.0,10.0,5600.0,0.273,-5000.0,17543.86,5000.0,0.0,0.285,4789.474,0.004,-5000.0,1249999.941,5000.0,0.0,0.004,5250.0,1.0,-5000.0,5000.0,5000.0,0.0,1.0,5000.0,2.97,-5000.0,1694.915,5000.0,0.0,2.95,5033.898
2020-02-07,18.63,0.0,0.0,0.0,0.0,,0.0,0.58,-10000.0,9433.963,5000.0,-1241.1,0.53,5470.755,9.494,0.0,0.0,0.0,0.0,,0.0,1.53,-10000.0,3333.333,5000.0,-562.02,1.5,5100.0,0.24,-5000.0,2777777.825,5000.0,0.0,0.002,666666.663,0.595,-5000.0,14285.715,5000.0,0.0,0.35,8500.001,0.012,-10000.0,423728.798,5000.0,310.53,0.012,5000.0,0.5,-5000.0,12500.0,5000.0,0.0,0.4,6248.75,0.508,0.0,0.0,0.0,0.0,,0.0,6.612,-10000.0,756.214,5000.0,-399.873,6.612,5000.0,3.87,-5000.0,1923.077,5000.0,0.0,2.6,7442.308,11.2,-5000.0,500.0,5000.0,0.0,10.0,5600.0,0.25,-5000.0,17543.86,5000.0,0.0,0.285,4385.965,0.004,-5000.0,1249999.941,5000.0,0.0,0.004,5250.0,1.0,-5000.0,5000.0,5000.0,0.0,1.0,5000.0,2.97,-5000.0,1694.915,5000.0,0.0,2.95,5033.898
2020-02-10,18.854,0.0,0.0,0.0,0.0,,0.0,0.575,-10000.0,9433.963,5000.0,-1241.1,0.53,5424.528,9.475,0.0,0.0,0.0,0.0,,0.0,1.54,-10000.0,3333.333,5000.0,-562.02,1.5,5133.333,0.25,-5000.0,2777777.825,5000.0,0.0,0.002,694444.456,0.595,-5000.0,14285.715,5000.0,0.0,0.35,8500.001,0.011,-10000.0,423728.798,5000.0,310.53,0.012,4661.017,0.5,-5000.0,12500.0,5000.0,0.0,0.4,6248.75,0.509,0.0,0.0,0.0,0.0,,0.0,6.612,-10000.0,756.214,5000.0,-399.873,6.612,5000.0,4.228,-5000.0,1923.077,5000.0,0.0,2.6,8131.731,11.2,-10000.0,446.429,5000.0,600.0,11.2,5000.0,0.193,-5000.0,17543.86,5000.0,0.0,0.285,3390.351,0.004,-5000.0,1249999.941,5000.0,0.0,0.004,5250.0,1.0,-5000.0,5000.0,5000.0,0.0,1.0,5000.0,2.97,-5000.0,1694.915,5000.0,0.0,2.95,5033.898
2020-02-11,19.34,0.0,0.0,0.0,0.0,,0.0,0.577,-10000.0,9433.963,5000.0,-1241.1,0.53,5438.774,9.504,0.0,0.0,0.0,0.0,,0.0,1.485,-10000.0,3333.333,5000.0,-562.02,1.5,4951.333,0.25,-5000.0,2777777.825,5000.0,0.0,0.002,694444.456,0.595,-5000.0,14285.715,5000.0,0.0,0.35,8500.001,0.012,-10000.0,423728.798,5000.0,310.53,0.012,4894.068,0.49,-5000.0,12500.0,5000.0,0.0,0.4,6125.0,0.51,0.0,0.0,0.0,0.0,,0.0,6.423,-10000.0,756.214,5000.0,-399.873,6.612,4857.347,4.152,-5000.0,1923.077,5000.0,0.0,2.6,7985.001,11.3,-10000.0,446.429,5000.0,600.0,11.2,5044.643,0.193,-5000.0,17543.86,5000.0,0.0,0.285,3390.351,0.004,-5000.0,1249999.941,5000.0,0.0,0.004,5250.0,1.0,-5000.0,5000.0,5000.0,0.0,1.0,5000.0,2.85,-5000.0,1694.915,5000.0,0.0,2.95,4830.508
2020-02-12,19.634,0.0,0.0,0.0,0.0,,0.0,0.6,-10000.0,9433.963,5000.0,-1241.1,0.53,5660.378,9.494,0.0,0.0,0.0,0.0,,0.0,1.5,-10000.0,3333.333,5000.0,-562.02,1.5,5000.0,0.248,-5000.0,2777777.825,5000.0,0.0,0.002,688888.889,0.595,-5000.0,14285.715,5000.0,0.0,0.35,8500.001,0.01,-10000.0,423728.798,5000.0,310.53,0.012,4237.288,0.5,-5000.0,12500.0,5000.0,0.0,0.4,6250.0,0.505,0.0,0.0,0.0,0.0,,0.0,6.386,-10000.0,756.214,5000.0,-399.873,6.612,4828.816,4.07,-5000.0,1923.077,5000.0,0.0,2.6,7826.924,11.5,-10000.0,446.429,5000.0,600.0,11.2,5133.884,0.193,-5000.0,17543.86,5000.0,0.0,0.285,3390.351,0.004,-5000.0,1249999.941,5000.0,0.0,0.004,5250.0,1.0,-5000.0,5000.0,5000.0,0.0,1.0,5000.0,2.85,-5000.0,1694.915,5000.0,0.0,2.95,4830.508
2020-02-13,19.445,0.0,0.0,0.0,0.0,,0.0,0.59,-10000.0,9433.963,5000.0,-1241.1,0.53,5570.755,9.506,0.0,0.0,0.0,0.0,,0.0,1.49,-10000.0,3333.333,5000.0,-562.02,1.5,4966.667,0.25,-5000.0,2777777.825,5000.0,0.0,0.002,694444.456,0.595,-5000.0,14285.715,5000.0,0.0,0.35,8500.001,0.008,-10000.0,423728.798,5000.0,310.53,0.012,3432.203,0.5,-5000.0,12500.0,5000.0,0.0,0.4,6250.0,0.55,0.0,0.0,0.0,0.0,,0.0,6.235,-10000.0,756.214,5000.0,-399.873,6.612,4714.693,4.16,-5000.0,1923.077,5000.0,0.0,2.6,8000.0,11.5,-10000.0,446.429,5000.0,600.0,11.2,5133.884,0.2,-5000.0,17543.86,5000.0,0.0,0.285,3508.772,0.001,-5000.0,1249999.941,5000.0,0.0,0.004,1250.0,1.0,-5000.0,5000.0,5000.0,0.0,1.0,5000.0,2.89,-5000.0,1694.915,5000.0,0.0,2.95,4898.305
2020-02-14,19.468,0.0,0.0,0.0,0.0,,0.0,0.585,-10000.0,9433.963,5000.0,-1241.1,0.53,5517.925,9.506,0.0,0.0,0.0,0.0,,0.0,1.54,-10000.0,3333.333,5000.0,-562.02,1.5,5134.333,0.25,-5000.0,2777777.825,5000.0,0.0,0.002,694444.456,0.595,-5000.0,14285.715,5000.0,0.0,0.35,8500.001,0.008,-10000.0,423728.798,5000.0,310.53,0.012,3432.203,0.5,-5000.0,12500.0,5000.0,0.0,0.4,6250.0,0.569,0.0,0.0,0.0,0.0,,0.0,6.084,-10000.0,756.214,5000.0,-399.873,6.612,4600.571,4.17,-5000.0,1923.077,5000.0,0.0,2.6,8019.231,11.5,-10000.0,446.429,5000.0,600.0,11.2,5133.884,0.2,-5000.0,17543.86,5000.0,0.0,0.285,3508.772,0.003,-5000.0,1249999.941,5000.0,0.0,0.004,3750.0,1.0,-5000.0,5000.0,5000.0,0.0,1.0,5000.0,3.0,-5000.0,1694.915,5000.0,0.0,2.95,5084.746
2020-02-18,19.553,0.0,0.0,0.0,0.0,,0.0,0.68,-10000.0,9433.963,5000.0,-1241.1,0.53,6416.038,9.496,0.0,0.0,0.0,0.0,,0.0,1.585,-10000.0,3333.333,5000.0,-562.02,1.5,5283.333,0.23,-5000.0,2777777.825,5000.0,0.0,0.002,638888.911,0.72,-5000.0,14285.715,5000.0,0.0,0.35,10285.715,0.008,-10000.0,423728.798,5000.0,310.53,0.012,3305.085,0.5,-5000.0,12500.0,5000.0,0.0,0.4,6250.0,0.54,0.0,0.0,0.0,0.0,,0.0,6.178,-10000.0,756.214,5000.0,-399.873,6.612,4671.897,4.04,-10000.0,1237.624,5000.0,2769.12,4.04,5000.0,11.5,-10000.0,446.429,5000.0,600.0,11.2,5133.884,0.2,-5000.0,17543.86,5000.0,0.0,0.285,3508.772,0.009,-5000.0,1249999.941,5000.0,0.0,0.004,10625.0,1.0,-5000.0,5000.0,5000.0,0.0,1.0,5000.0,2.6,-10000.0,1923.077,5000.0,-592.9,2.6,5000.0
2020-02-19,19.577,0.0,0.0,0.0,0.0,,0.0,0.664,-10000.0,9433.963,5000.0,-1241.1,0.53,6260.378,9.496,0.0,0.0,0.0,0.0,,0.0,1.78,-10000.0,3333.333,5000.0,-562.02,1.5,5933.333,0.2,-5000.0,2777777.825,5000.0,0.0,0.002,555555.573,0.72,-5000.0,14285.715,5000.0,0.0,0.35,10285.715,0.005,-15000.0,1000000.022,5000.0,310.53,0.005,5000.0,0.5,-5000.0,12500.0,5000.0,0.0,0.4,6250.0,0.529,0.0,0.0,0.0,0.0,,0.0,6.15,-10000.0,756.214,5000.0,-399.873,6.612,4650.499,4.06,-10000.0,1237.624,5000.0,2769.12,4.04,5024.752,11.5,-10000.0,446.429,5000.0,600.0,11.2,5133.884,0.2,-5000.0,17543.86,5000.0,0.0,0.285,3508.772,0.005,-10000.0,1000000.022,5000.0,1249.999,0.005,5000.0,1.0,-5000.0,5000.0,5000.0,0.0,1.0,5000.0,2.83,-10000.0,1923.077,5000.0,-592.9,2.6,5442.308
2020-02-20,19.312,0.0,0.0,0.0,0.0,,0.0,0.605,-10000.0,9433.963,5000.0,-1241.1,0.53,5708.491,9.477,0.0,0.0,0.0,0.0,,0.0,1.797,-10000.0,3333.333,5000.0,-562.02,1.5,5990.333,0.25,-5000.0,2777777.825,5000.0,0.0,0.002,694444.456,0.72,-5000.0,14285.715,5000.0,0.0,0.35,10285.715,0.006,-15000.0,1000000.022,5000.0,310.53,0.005,6000.0,0.45,-5000.0,12500.0,5000.0,0.0,0.4,5625.0,0.535,0.0,0.0,0.0,0.0,,0.0,6.112,-10000.0,756.214,5000.0,-399.873,6.612,4621.968,4.015,-10000.0,1237.624,5000.0,2769.12,4.04,4969.059,11.5,-10000.0,446.429,5000.0,600.0,11.2,5133.884,0.2,-5000.0,17543.86,5000.0,0.0,0.285,3508.772,0.009,-10000.0,1000000.022,5000.0,1249.999,0.005,8500.001,1.0,-5000.0,5000.0,5000.0,0.0,1.0,5000.0,2.5,-10000.0,1923.077,5000.0,-592.9,2.6,4807.692
2020-02-21,19.255,0.0,0.0,0.0,0.0,,0.0,0.609,-10000.0,9433.963,5000.0,-1241.1,0.53,5748.114,9.468,0.0,0.0,0.0,0.0,,0.0,2.1,-10000.0,3333.333,5000.0,-562.02,1.5,7000.0,0.239,-5000.0,2777777.825,5000.0,0.0,0.002,663888.88,0.72,-5000.0,14285.715,5000.0,0.0,0.35,10285.715,0.005,-15000.0,1000000.022,5000.0,310.53,0.005,5000.0,0.52,-5000.0,12500.0,5000.0,0.0,0.4,6500.0,0.52,0.0,0.0,0.0,0.0,,0.0,6.008,-10000.0,756.214,5000.0,-399.873,6.612,4543.509,3.923,-10000.0,1237.624,5000.0,2769.12,4.04,4855.074,11.0,-10000.0,446.429,5000.0,600.0,11.2,4910.714,0.16,-5000.0,17543.86,5000.0,0.0,0.285,2807.018,0.005,-10000.0,1000000.022,5000.0,1249.999,0.005,5000.0,1.0,-5000.0,5000.0,5000.0,0.0,1.0,5000.0,2.89,-15000.0,1730.104,5000.0,-592.9,2.89,5000.0
2020-02-24,19.056,-5000.0,262.378,5000.0,0.0,19.056,5000.0,0.6,-10000.0,9433.963,5000.0,-1241.1,0.53,5660.378,9.463,0.0,0.0,0.0,0.0,,0.0,1.901,-10000.0,3333.333,5000.0,-562.02,1.5,6336.0,0.239,-5000.0,2777777.825,5000.0,0.0,0.002,663888.88,0.72,-5000.0,14285.715,5000.0,0.0,0.35,10285.715,0.005,-15000.0,1000000.022,5000.0,310.53,0.005,5400.0,0.52,-5000.0,12500.0,5000.0,0.0,0.4,6500.0,0.516,0.0,0.0,0.0,0.0,,0.0,5.895,-10000.0,756.214,5000.0,-399.873,6.612,4457.917,3.94,-10000.0,1237.624,5000.0,2769.12,4.04,4876.238,11.0,-10000.0,446.429,5000.0,600.0,11.2,4910.714,0.162,-5000.0,17543.86,5000.0,0.0,0.285,2846.491,0.005,-10000.0,1000000.022,5000.0,1249.999,0.005,5000.0,1.0,-5000.0,5000.0,5000.0,0.0,1.0,5000.0,2.2,-15000.0,1730.104,5000.0,-592.9,2.89,3806.228
2020-02-25,18.697,-5000.0,262.378,5000.0,0.0,19.056,4905.614,0.563,-10000.0,9433.963,5000.0,-1241.1,0.53,5312.264,9.392,0.0,0.0,0.0,0.0,,0.0,1.86,-10000.0,3333.333,5000.0,-562.02,1.5,6200.333,0.23,-5000.0,2777777.825,5000.0,0.0,0.002,638888.911,0.72,-5000.0,14285.715,5000.0,0.0,0.35,10285.715,0.005,-15000.0,1000000.022,5000.0,310.53,0.005,5100.0,0.52,-5000.0,12500.0,5000.0,0.0,0.4,6500.0,0.445,0.0,0.0,0.0,0.0,,0.0,5.735,-10000.0,756.214,5000.0,-399.873,6.612,4336.662,3.67,-10000.0,1237.624,5000.0,2769.12,4.04,4542.079,11.0,-10000.0,446.429,5000.0,600.0,11.2,4910.714,0.16,-5000.0,17543.86,5000.0,0.0,0.285,2807.018,0.005,-10000.0,1000000.022,5000.0,1249.999,0.005,5000.0,1.0,-5000.0,5000.0,5000.0,0.0,1.0,5000.0,2.65,-15000.0,1730.104,5000.0,-592.9,2.89,4584.775
2020-02-26,18.933,-5000.0,262.378,5000.0,0.0,19.056,4967.71,0.541,-10000.0,9433.963,5000.0,-1241.1,0.53,5105.66,9.382,0.0,0.0,0.0,0.0,,0.0,1.525,-10000.0,3333.333,5000.0,-562.02,1.5,5083.333,0.23,-5000.0,2777777.825,5000.0,0.0,0.002,638888.911,0.72,-5000.0,14285.715,5000.0,0.0,0.35,10285.715,0.004,-15000.0,1000000.022,5000.0,310.53,0.005,4300.0,0.45,-5000.0,12500.0,5000.0,0.0,0.4,5625.0,0.46,0.0,0.0,0.0,0.0,,0.0,5.82,-10000.0,756.214,5000.0,-399.873,6.612,4400.856,3.56,-10000.0,1237.624,5000.0,2769.12,4.04,4405.941,11.0,-10000.0,446.429,5000.0,600.0,11.2,4910.714,0.16,-5000.0,17543.86,5000.0,0.0,0.285,2807.018,0.005,-10000.0,1000000.022,5000.0,1249.999,0.005,5000.0,1.0,-5000.0,5000.0,5000.0,0.0,1.0,5000.0,2.2,-15000.0,1730.104,5000.0,-592.9,2.89,3806.228
2020-02-27,18.138,-5000.0,262.378,5000.0,0.0,19.056,4759.066,0.5,-10000.0,9433.963,5000.0,-1241.1,0.53,4716.981,9.287,0.0,0.0,0.0,0.0,,0.0,1.559,-10000.0,3333.333,5000.0,-562.02,1.5,5196.667,0.25,-5000.0,2777777.825,5000.0,0.0,0.002,694444.456,0.72,-5000.0,14285.715,5000.0,0.0,0.35,10285.715,0.004,-15000.0,1000000.022,5000.0,310.53,0.005,4000.0,0.35,-5000.0,12500.0,5000.0,0.0,0.4,4375.0,0.44,0.0,0.0,0.0,0.0,,0.0,5.593,-10000.0,756.214,5000.0,-399.873,6.612,4229.672,4.06,-10000.0,1237.624,5000.0,2769.12,4.04,5024.629,11.0,-10000.0,446.429,5000.0,600.0,11.2,4910.714,0.16,-5000.0,17543.86,5000.0,0.0,0.285,2807.018,0.005,-10000.0,1000000.022,5000.0,1249.999,0.005,5000.0,1.0,-5000.0,5000.0,5000.0,0.0,1.0,5000.0,2.25,-15000.0,1730.104,5000.0,-592.9,2.89,3892.733
2020-02-28,18.223,-5000.0,262.378,5000.0,0.0,19.056,4781.421,0.46,-10000.0,9433.963,5000.0,-1241.1,0.53,4340.566,9.192,0.0,0.0,0.0,0.0,,0.0,1.6,-10000.0,3333.333,5000.0,-562.02,1.5,5333.333,0.25,-5000.0,2777777.825,5000.0,0.0,0.002,694444.456,0.65,-5000.0,14285.715,5000.0,0.0,0.35,9285.714,0.005,-15000.0,1000000.022,5000.0,310.53,0.005,5000.0,0.3,-5000.0,12500.0,5000.0,0.0,0.4,3750.0,0.446,0.0,0.0,0.0,0.0,,0.0,5.471,-10000.0,756.214,5000.0,-399.873,6.612,4136.947,3.49,-10000.0,1237.624,5000.0,2769.12,4.04,4319.307,11.0,-10000.0,446.429,5000.0,600.0,11.2,4910.714,0.17,-5000.0,17543.86,5000.0,0.0,0.285,2982.456,0.005,-10000.0,1000000.022,5000.0,1249.999,0.005,5000.0,1.0,-5000.0,5000.0,5000.0,0.0,1.0,5000.0,2.2,-15000.0,1730.104,5000.0,-592.9,2.89,3806.228
2020-03-02,18.521,-5000.0,262.378,5000.0,0.0,19.056,4859.514,0.52,-10000.0,9433.963,5000.0,-1241.1,0.53,4905.66,9.306,0.0,0.0,0.0,0.0,,0.0,1.56,-10000.0,3333.333,5000.0,-562.02,1.5,5200.0,0.25,-5000.0,2777777.825,5000.0,0.0,0.002,694444.456,0.65,-5000.0,14285.715,5000.0,0.0,0.35,9285.714,0.004,-15000.0,1000000.022,5000.0,310.53,0.005,4000.0,0.32,-5000.0,12500.0,5000.0,0.0,0.4,4000.0,0.439,0.0,0.0,0.0,0.0,,0.0,5.489,-10000.0,756.214,5000.0,-399.873,6.612,4151.213,3.62,-10000.0,1237.624,5000.0,2769.12,4.04,4480.198,11.0,-10000.0,446.429,5000.0,600.0,11.2,4910.714,0.17,-5000.0,17543.86,5000.0,0.0,0.285,2982.456,0.006,-10000.0,1000000.022,5000.0,1249.999,0.005,5600.0,1.0,-5000.0,5000.0,5000.0,0.0,1.0,5000.0,2.4,-15000.0,1730.104,5000.0,-592.9,2.89,4152.249
2020-03-03,18.896,-5000.0,262.378,5000.0,0.0,19.056,4957.774,0.53,-10000.0,9433.963,5000.0,-1241.1,0.53,5000.944,9.369,0.0,0.0,0.0,0.0,,0.0,1.52,-10000.0,3333.333,5000.0,-562.02,1.5,5066.667,0.22,-5000.0,2777777.825,5000.0,0.0,0.002,611111.118,0.65,-5000.0,14285.715,5000.0,0.0,0.35,9285.714,0.004,-15000.0,1000000.022,5000.0,310.53,0.005,4400.0,0.35,-5000.0,12500.0,5000.0,0.0,0.4,4375.0,0.445,0.0,0.0,0.0,0.0,,0.0,5.48,-10000.0,756.214,5000.0,-399.873,6.612,4144.08,3.8,-10000.0,1237.624,5000.0,2769.12,4.04,4702.97,11.0,-10000.0,446.429,5000.0,600.0,11.2,4910.714,0.15,-5000.0,17543.86,5000.0,0.0,0.285,2631.579,0.006,-10000.0,1000000.022,5000.0,1249.999,0.005,5600.0,1.0,-5000.0,5000.0,5000.0,0.0,1.0,5000.0,2.59,-15000.0,1730.104,5000.0,-592.9,2.89,4480.969
2020-03-04,18.791,-5000.0,262.378,5000.0,0.0,19.056,4930.452,0.55,-10000.0,9433.963,5000.0,-1241.1,0.53,5190.566,9.477,0.0,0.0,0.0,0.0,,0.0,1.52,-10000.0,3333.333,5000.0,-562.02,1.5,5066.667,0.23,-5000.0,2777777.825,5000.0,0.0,0.002,638888.911,0.65,-5000.0,14285.715,5000.0,0.0,0.35,9285.714,0.004,-15000.0,1000000.022,5000.0,310.53,0.005,4200.0,0.35,-5000.0,12500.0,5000.0,0.0,0.4,4375.0,0.44,0.0,0.0,0.0,0.0,,0.0,5.537,-10000.0,756.214,5000.0,-399.873,6.612,4186.876,3.7,-10000.0,1237.624,5000.0,2769.12,4.04,4579.208,11.0,-10000.0,446.429,5000.0,600.0,11.2,4910.714,0.15,-5000.0,17543.86,5000.0,0.0,0.285,2631.579,0.006,-10000.0,1000000.022,5000.0,1249.999,0.005,5600.0,1.0,-5000.0,5000.0,5000.0,0.0,1.0,5000.0,2.39,-15000.0,1730.104,5000.0,-592.9,2.89,4134.948
2020-03-05,18.659,-5000.0,262.378,5000.0,0.0,19.056,4895.678,0.522,-10000.0,9433.963,5000.0,-1241.1,0.53,4926.415,9.392,0.0,0.0,0.0,0.0,,0.0,1.55,-10000.0,3333.333,5000.0,-562.02,1.5,5166.667,0.25,-5000.0,2777777.825,5000.0,0.0,0.002,694444.456,0.8,-5000.0,14285.715,5000.0,0.0,0.35,11428.572,0.005,-15000.0,1000000.022,5000.0,310.53,0.005,5100.0,0.25,-5000.0,12500.0,5000.0,0.0,0.4,3125.0,0.479,0.0,0.0,0.0,0.0,,0.0,5.584,-10000.0,756.214,5000.0,-399.873,6.612,4222.539,3.93,-10000.0,1237.624,5000.0,2769.12,4.04,4863.862,11.0,-10000.0,446.429,5000.0,600.0,11.2,4910.714,0.17,-5000.0,17543.86,5000.0,0.0,0.285,2980.702,0.004,-10000.0,1000000.022,5000.0,1249.999,0.005,4350.0,1.0,-5000.0,5000.0,5000.0,0.0,1.0,5000.0,2.4,-15000.0,1730.104,5000.0,-592.9,2.89,4152.249
2020-03-06,18.933,-5000.0,262.378,5000.0,0.0,19.056,4967.71,0.465,-10000.0,9433.963,5000.0,-1241.1,0.53,4386.793,9.277,0.0,0.0,0.0,0.0,,0.0,1.4,-10000.0,3333.333,5000.0,-562.02,1.5,4666.667,0.2,-5000.0,2777777.825,5000.0,0.0,0.002,555555.573,0.8,-5000.0,14285.715,5000.0,0.0,0.35,11428.572,0.005,-15000.0,1000000.022,5000.0,310.53,0.005,5100.0,0.3,-5000.0,12500.0,5000.0,0.0,0.4,3750.0,0.457,0.0,0.0,0.0,0.0,,0.0,5.471,-10000.0,756.214,5000.0,-399.873,6.612,4136.947,3.93,-10000.0,1237.624,5000.0,2769.12,4.04,4863.862,11.0,-10000.0,446.429,5000.0,600.0,11.2,4910.714,0.15,-5000.0,17543.86,5000.0,0.0,0.285,2631.579,0.004,-10000.0,1000000.022,5000.0,1249.999,0.005,4350.0,1.0,-5000.0,5000.0,5000.0,0.0,1.0,5000.0,2.3,-15000.0,1730.104,5000.0,-592.9,2.89,3979.239
2020-03-09,18.735,-5000.0,262.378,5000.0,0.0,19.056,4915.55,0.42,-10000.0,9433.963,5000.0,-1241.1,0.53,3963.208,9.182,0.0,0.0,0.0,0.0,,0.0,1.25,-10000.0,3333.333,5000.0,-562.02,1.5,4165.0,0.24,-5000.0,2777777.825,5000.0,0.0,0.002,666666.663,0.8,-5000.0,14285.715,5000.0,0.0,0.35,11428.572,0.005,-15000.0,1000000.022,5000.0,310.53,0.005,4600.0,0.3,-5000.0,12500.0,5000.0,0.0,0.4,3750.0,0.429,0.0,0.0,0.0,0.0,,0.0,4.65,-10000.0,756.214,5000.0,-399.873,6.612,3516.405,3.71,-10000.0,1237.624,5000.0,2769.12,4.04,4591.584,11.0,-10000.0,446.429,5000.0,600.0,11.2,4910.714,0.15,-5000.0,17543.86,5000.0,0.0,0.285,2631.579,0.003,-10000.0,1000000.022,5000.0,1249.999,0.005,3100.0,1.0,-5000.0,5000.0,5000.0,0.0,1.0,5000.0,2.6,-15000.0,1730.104,5000.0,-592.9,2.89,4498.27
2020-03-10,20.458,-5000.0,262.378,5000.0,0.0,19.056,5367.611,0.419,-10000.0,9433.963,5000.0,-1241.1,0.53,3952.83,9.058,0.0,0.0,0.0,0.0,,0.0,1.31,-10000.0,3333.333,5000.0,-562.02,1.5,4366.666,0.25,-5000.0,2777777.825,5000.0,0.0,0.002,694444.456,0.8,-5000.0,14285.715,5000.0,0.0,0.35,11428.572,0.004,-15000.0,1000000.022,5000.0,310.53,0.005,4200.0,0.4,-5000.0,12500.0,5000.0,0.0,0.4,5000.0,0.465,0.0,0.0,0.0,0.0,,0.0,4.659,-10000.0,756.214,5000.0,-399.873,6.612,3523.538,3.77,-10000.0,1237.624,5000.0,2769.12,4.04,4665.842,11.0,-10000.0,446.429,5000.0,600.0,11.2,4910.714,0.15,-5000.0,17543.86,5000.0,0.0,0.285,2631.579,0.003,-10000.0,1000000.022,5000.0,1249.999,0.005,3100.0,1.0,-5000.0,5000.0,5000.0,0.0,1.0,5000.0,2.5,-15000.0,1730.104,5000.0,-592.9,2.89,4325.259
